"file","lines","non_empty_lines","chars","line_by_line_sha256","file_sha256","changed_vs_first_pass"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\BrowserCoreHelpers.cs","35","29","1396","85edc39e2abea52d231f06516c657b25ba19fab7384fb22cfb0fac6b70784d53","D1F5BAD0A2BA2013A2E3460F9E10B3A9DE3A41AA08A94EF2113231CA5464D625","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\BrowserEngine.cs","41","34","1107","b35328869c53d1d3ee15a4934ff3c321bb3d9383bb8eaf447884fb3f49a18637","170ECE3F384E3CD29F2D10BEEB554138355FEA590B112BA5333591B9411C4C12","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Compositing\BaseFrameReusePolicy.cs","39","35","1021","c22bb384c7a43218b718763160040d20b41473b3bd8750b28ca941e7be9ce5e6","D0CB69AF6644848C0D34698F9C73F6EDE275FC871C562A03CB01C4598EBF2156","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Compositing\DamageRasterizationPolicy.cs","82","70","2392","18620c74164dff79588519e3fc37fcbef79e6240269882f9f00b62aa932de4a1","F231DAB5F829CD210FE1E7E1275ED7D832CFE0EAE412C337D29658A650DBDEAF","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Compositing\DamageRegionNormalizationPolicy.cs","163","139","4925","da9871e872f68494a27fb3fefbac1b5ad5e3442c57474b020073ff6278066521","E30D3701F0A11AFC5272506EB44841E39DD00D59741BEF7092CF06ED3AD413F9","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Compositing\FrameBudgetAdaptivePolicy.cs","103","93","3869","a120fa8f4ed78dbbf636916d7aa31b6069d4744af453d858e4ac8e788f960d47","1AE12A30DC27804278F57C07AE0808727E747D6A2C3DAA5E5FEC57BB41313628","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Compositing\PaintCompositingStabilityController.cs","74","62","2443","0262f8648a537ebe74da15def3d996347aa6a1a51091535a69406700e72a4fdb","3EB56DD6B07F699889C961D6B87A2D02F8B789D19A5D64431777684FC51BF58D","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Compositing\PaintDamageTracker.cs","150","128","4371","72ad25f4ddf2a8e1ccb98edcab7e930e62bc9ce4c5458ef450d3c7a564718c8a","1340FA5F0E61216EA1A692D4605CAEDC9BBE9B0EB540505FBD1B7A781462A8C8","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Compositing\ScrollDamageComputer.cs","165","145","6116","48e0847d6051e173da51f1efaf58d0ce6000393afde2e7f91384247bad2c9a61","3DA7D9DDBFF1F75F0BBD50633CE2AA11D2FB3A7FD184E381EE41BE524164ADF2","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Core\ILayoutEngine.cs","19","16","564","0916afc4eadcc7e97531f32de78974af35908662137448ca9234ffd4e5549ec8","962623884CF0A95067DFB47C2C6EF5D4892EAF1B8825B20D3DA56FCD08EAD084","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Core\RenderContext.cs","34","27","1020","fd950d3e7c3980f0c85bea11c73d6283212184442b11bd601da996797d1e0e48","26AF3AF6021D5440C4F95FAFD2F0C237AAE9A5F4454734D267C23BEA46C66889","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Css\CascadeEngine.cs","405","364","16233","a5fbd2d7c70a8ca7059145a14199d0a4f15246eefed99869f91491909aa35dcc","6CCA711D848448DF659664AE7555E8DB468ABFEE61C5F458CF14D996F2BC42A6","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Css\CssAnimationEngine.cs","1036","880","39892","80ac8fdf3a0a1e0432b987ab9f821271701493f5df7bff835d473764b8648723","885783F64951A7D4F2F98EF6899E747E07A2BE70E21877F962AB250149AC97AE","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Css\CssClipPathParser.cs","260","228","9011","572296b738c76c4467d67f9a092b51ae267d3f603e29e3de30f274e5ca0390ef","04886077A844CEE5D2DB383355993C0206654FC8D9AA28B3DD0576A28523F2D5","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Css\CssEngineFactory.cs","119","107","3899","9f119064aa6a9168769f521ae19353b13c5d70b9b66df1c28a058a6b1bdf7448","F30BFF06AE89EF3615808A8E7F151E511003A8F96D20C1CC98C2A08A31A9FAED","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Css\CssFilterParser.cs","343","301","12304","5db81fdd4deeca7a66cd5fe5819b0f7a5b4e38de207c6bd445d0366f1569f914","AF23D23A2E97C211F78722A19779CB309E0FC2EA5243116AAFCE1F028C32E52B","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Css\CssFlexLayout.cs","824","690","38924","56dca39db2e003fe6fc6e4b6d081d72ce3ff9c1d44caff89b83b7c5be9f8ad81","9E88CF88057BAF531EA5DFE362D3CDA02E8A62A546D4B52C0E50669F502C4EC1","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Css\CssFloatLayout.cs","413","353","13144","6ee6abfccdb8cd311588f9449790e80a66db21d6a25e34f9e3218b29a243255c","DE70E89D676CC4B1AA307327D899EE58FF43997FE5F2B19EE5CE6BEBB088B4B8","False"
