"file","lines","characters","score","state","todo","notImplemented","genericException","asyncVoid","emptyCatch","swallowCatch","taskRun","gcCollect","lockUsage","staticMutable","threadSleep","skiaNativeCtor"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\EventLoop\MicrotaskQueue.cs","148","4437","94","production","0","0","0","0","0","1","0","0","8","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\EventLoop\TaskQueue.cs","129","3855","100","production","0","0","0","0","0","0","0","0","5","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Interfaces\IExecutionContext.cs","134","4384","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Interfaces\IHistoryBridge.cs","11","327","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Interfaces\IModuleLoader.cs","22","661","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Interfaces\IObject.cs","78","2705","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Interfaces\IValue.cs","93","2591","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Types\JsBigInt.cs","209","7233","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Types\JsIntl.cs","123","5521","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Types\JsMap.cs","135","5944","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Types\JsPromise.cs","549","23071","88","full","0","0","0","0","0","2","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Types\JsSet.cs","205","9355","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Types\JsSymbol.cs","190","6618","100","production","0","0","0","0","0","0","0","0","0","1","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Types\JsTypedArray.cs","527","27081","100","production","1","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Types\JsWeakMap.cs","68","2663","94","production","0","0","0","0","0","1","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Types\JsWeakSet.cs","60","2322","94","production","0","0","0","0","0","1","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Core\Types\Shape.cs","89","3160","100","production","0","0","0","0","0","0","0","0","1","1","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\DevTools\DebugConfig.cs","135","4044","100","production","0","0","0","0","0","0","0","0","0","1","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\DevTools\DevToolsCore.cs","1063","37914","80","full","0","0","0","0","0","2","0","2","4","3","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\DOM\AttrWrapper.cs","104","4523","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\DOM\CommentWrapper.cs","39","1189","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\DOM\CustomElementRegistry.cs","374","14581","88","full","0","0","0","0","0","2","0","0","6","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\DOM\CustomEvent.cs","70","2266","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\DOM\DocumentWrapper.cs","762","34036","93","production","2","0","0","0","0","1","0","0","0","0","0","0"
